"Time","L1","L2","L3"
2024-06-06 06:10:00,1.41 K,655,617
2024-06-06 06:11:00,1.40 K,677,649
2024-06-06 06:12:00,1.38 K,649,628
2024-06-06 06:13:00,904,0.211,-0.0165
2024-06-06 06:14:00,904,0.208,-0.0169
2024-06-06 06:15:00,907,0.225,-0.0198
2024-06-06 06:16:00,906,0.229,-0.00576
2024-06-06 06:17:00,897,0.279,0.0339
2024-06-06 06:18:00,891,0.301,0.0313
2024-06-06 06:19:00,880,0.331,0.0387
2024-06-06 06:20:00,1.94 K,1.31 K,1.30 K
2024-06-06 06:21:00,1.89 K,1.26 K,1.26 K
2024-06-06 06:22:00,1.42 K,661,663
2024-06-06 06:23:00,1.39 K,631,642
2024-06-06 06:24:00,1.31 K,623,619
2024-06-06 06:25:00,1.45 K,691,684
2024-06-06 06:26:00,887,0.269,0.0177
2024-06-06 06:27:00,879,0.293,0.0271
2024-06-06 06:28:00,888,0.271,0.0456
2024-06-06 06:29:00,904,0.236,0.0497
2024-06-06 06:30:00,901,0.259,0.0288
2024-06-06 06:31:00,899,0.266,0.0315
2024-06-06 06:32:00,900,0.260,0.0346
2024-06-06 06:33:00,1.88 K,1.29 K,1.25 K
2024-06-06 06:34:00,1.92 K,1.27 K,1.23 K
2024-06-06 06:35:00,1.41 K,626,617
2024-06-06 06:36:00,1.42 K,641,632
2024-06-06 06:37:00,1.38 K,596,592
2024-06-06 06:38:00,1.40 K,625,615
2024-06-06 06:39:00,1.33 K,626,613
2024-06-06 06:40:00,1.37 K,659,655
2024-06-06 06:41:00,896,0.291,0.0447
2024-06-06 06:42:00,895,0.280,0.0358
2024-06-06 06:43:00,894,0.252,0.0300
2024-06-06 06:44:00,894,0.262,0.0365
2024-06-06 06:45:00,893,0.258,0.0425
2024-06-06 06:46:00,893,0.270,0.0397
2024-06-06 06:47:00,893,0.268,0.0423
2024-06-06 06:48:00,1.94 K,1.30 K,1.27 K
2024-06-06 06:49:00,1.90 K,1.30 K,1.26 K
2024-06-06 06:50:00,1.41 K,690,672
2024-06-06 06:51:00,1.37 K,671,653
2024-06-06 06:52:00,1.37 K,649,638
